Palavra,Link,Instituicao
73,https://media.spreadthesign.com/video/mp4/14/549409.mp4,Spread the Sign
74,https://media.spreadthesign.com/video/mp4/14/549410.mp4,Spread the Sign
75,https://media.spreadthesign.com/video/mp4/14/549411.mp4,Spread the Sign
76,https://media.spreadthesign.com/video/mp4/14/549412.mp4,Spread the Sign
77,https://media.spreadthesign.com/video/mp4/14/549413.mp4,Spread the Sign
78,https://media.spreadthesign.com/video/mp4/14/549414.mp4,Spread the Sign
79,https://media.spreadthesign.com/video/mp4/14/549415.mp4,Spread the Sign
7:45,https://media.spreadthesign.com/video/mp4/14/549965.mp4,Spread the Sign
8,https://media.spreadthesign.com/video/mp4/14/549416.mp4,Spread the Sign
80,https://media.spreadthesign.com/video/mp4/14/549417.mp4,Spread the Sign
80 000,https://media.spreadthesign.com/video/mp4/14/549418.mp4,Spread the Sign
800,https://media.spreadthesign.com/video/mp4/14/549419.mp4,Spread the Sign
800 000,https://media.spreadthesign.com/video/mp4/14/549420.mp4,Spread the Sign
8000,https://media.spreadthesign.com/video/mp4/14/549421.mp4,Spread the Sign
81,https://media.spreadthesign.com/video/mp4/14/549422.mp4,Spread the Sign
82,https://media.spreadthesign.com/video/mp4/14/549423.mp4,Spread the Sign
83,https://media.spreadthesign.com/video/mp4/14/549424.mp4,Spread the Sign
84,https://media.spreadthesign.com/video/mp4/14/549425.mp4,Spread the Sign
85,https://media.spreadthesign.com/video/mp4/14/549426.mp4,Spread the Sign
86,https://media.spreadthesign.com/video/mp4/14/549427.mp4,Spread the Sign
87,https://media.spreadthesign.com/video/mp4/14/549428.mp4,Spread the Sign
88,https://media.spreadthesign.com/video/mp4/14/549429.mp4,Spread the Sign
89,https://media.spreadthesign.com/video/mp4/14/549430.mp4,Spread the Sign
9,https://media.spreadthesign.com/video/mp4/14/549431.mp4,Spread the Sign
90,https://media.spreadthesign.com/video/mp4/14/549432.mp4,Spread the Sign
90 000,https://media.spreadthesign.com/video/mp4/14/549433.mp4,Spread the Sign
900,https://media.spreadthesign.com/video/mp4/14/549436.mp4,Spread the Sign
900 000,https://media.spreadthesign.com/video/mp4/14/549437.mp4,Spread the Sign
9000,https://media.spreadthesign.com/video/mp4/14/549438.mp4,Spread the Sign
