Palavra,Link,Instituicao
Historia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_hoje_STREAM.mp4,USP
Hoje,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_horas_STREAM.mp4,USP
Horas,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_idade_STREAM.mp4,USP
Idade,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_ideia_STREAM.mp4,USP
Ideia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_ignorar_STREAM.mp4,USP
Ignorar ou Desprezar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_igual_STREAM.mp4,USP
Igual,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_impaciente_STREAM.mp4,USP
Impaciente,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_implorar_STREAM.mp4,USP
Implorar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_importante_STREAM.mp4,USP
Importante,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_informacoes_STREAM.mp4,USP
Informacoes,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_ingles_STREAM.mp4,USP
Ingles,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_injusto_STREAM.mp4,USP
Injusto,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_inscrever-se_STREAM.mp4,USP
Inscrever-se,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_interprete_STREAM.mp4,USP
Interprete,https://midia.atp.usp.br/outros/libras2015/glossario/AULA08/Libras_glossario_aula08_inveja_STREAM.mp4,USP
Inveja,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_ir_embora_STREAM.mp4,USP
Ir embora,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_irma_irmao_STREAM.mp4,USP
Irmao ou Irma,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_irritado_STREAM.mp4,USP
Irritado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_ja_STREAM.mp4,USP
