Palavra,Link,Instituicao
APROXIMAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APROXIMAR.mp4,UFSC SignBank
AQUISICAO-LINGUAGEM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AQUISI%C3%87%C3%83O-LINGUAGEM.mp4,UFSC SignBank
AR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AR.mp4,UFSC SignBank
ARANHA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARANHA.mp4,UFSC SignBank
ARARANGUA-SC,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARARANGU%C3%81-SC.mp4,UFSC SignBank
ARCO-FLECHA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARCO-FLECHA.mp4,UFSC SignBank
ARCO-FLECHA2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARCO-FLECHA2.mp4,UFSC SignBank
ARCO-IRIS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARCO-%C3%8DRIS.mp4,UFSC SignBank
AREIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AREIA.mp4,UFSC SignBank
ARGENTINA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARGENTINA.mp4,UFSC SignBank
ARGENTINA2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARGENTINA2.mp4,UFSC SignBank
ARGUMENTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARGUMENTO.mp4,UFSC SignBank
ARGUMENTO2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARGUMENTO2.mp4,UFSC SignBank
ARGELIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARG%C3%89LIA.mp4,UFSC SignBank
ARMA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARMA.mp4,UFSC SignBank
ARMENIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARM%C3%8ANIA.mp4,UFSC SignBank
ARQUITETURA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARQUITETURA.mp4,UFSC SignBank
ARQUIVAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARQUIVAR.mp4,UFSC SignBank
ARRANHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARRANHAR.mp4,UFSC SignBank
ARREPENDER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARREPENDER.mp4,UFSC SignBank
ARROZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARROZ.mp4,UFSC SignBank
ARTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARTE.mp4,UFSC SignBank
ARTIGO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ARTIGO.mp4,UFSC SignBank
